id,name,neighborhood,bedrooms,nightly_rate,days_occupied,availability_30,home_price,rpp,noi
7087957,"Quaint, charming, updated studio",Belltown/Downtown,1,126,0,30,396702,0,-2080.35
9094872,Funky Apartment - Historic Building,Belltown/Downtown,1,99,0,30,396702,0,-2080.35
9414303,"Cozy, Amenity-Filled Apt in Cap Hill",Belltown/Downtown,1,85,30,0,396702,2550,214.65
26116,Adult Only Quiet 2/br Capitol Hill,Belltown/Downtown,2,199,0,30,526079,0,-2758.82
6452801,Private 2 BR OASIS,Belltown/Downtown,2,159,0,30,526079,0,-2758.82
8340841,Furnished 1 Bedrm Apt near Broadway,Belltown/Downtown,1,125,8,22,396702,1000,-1180.35
8046691,1 BR in the heart of Capitol Hill,Belltown/Downtown,1,110,30,0,396702,3300,889.65
9078843,Vacation rental condo in seattle,Belltown/Downtown,2,109,0,30,526079,0,-2758.82
8799909,Bright corner Capitol Hill 1 br,Belltown/Downtown,1,110,30,0,396702,3300,889.65
387079,Luxurious and new on Capitol Hill,Belltown/Downtown,1,119,0,30,396702,0,-2080.35
8292326,Clean & Cozy One bedroom apartment,Belltown/Downtown,1,115,0,30,396702,0,-2080.35
5563136,Cap Hill Sunny Duplex,Belltown/Downtown,1,100,30,0,396702,3000,619.65
6079216,Window with a view of Seattle's,Belltown/Downtown,2,150,30,0,526079,4500,1291.18
8955477,"Simple apartment, heart of the city",Belltown/Downtown,1,115,30,0,396702,3450,1024.65
6210952,Short-term stays in beautiful home,Belltown/Downtown,2,300,30,0,526079,9000,5341.18
2875975,Spacious 1920s Capitol Hill duplex,Belltown/Downtown,4,200,30,0,819806,6000,1100.85
7275027,The Maple Deluxe Vacation Apartment,Belltown/Downtown,1,89,30,0,396702,2670,322.65
6939106,PRIME Bright Cap Hill APT + HAMMOCK,Belltown/Downtown,1,144,21,9,396702,3024,641.25
7695195,1 bed apartment in Capitol Hill,Belltown/Downtown,1,90,28,2,396702,2520,187.65
6445741,"Sunny & Spacious 1,000sq 1 Bdrm Apt",Belltown/Downtown,1,189,0,30,396702,0,-2080.35
8724134,Capitol Hill Room w/ Childrens Room,Belltown/Downtown,1,175,0,30,396702,0,-2080.35
8524349,Ballard studio - 85 Walk Score!,Ballard/Greenlake,1,105,27,3,463837,2835,119.09
9429399,Bright Ballard Entertainer,Ballard/Greenlake,2,98,3,27,615107,294,-2961.09
7089415,Available for Christmas-Ballard,Ballard/Greenlake,1,99,30,0,463837,2970,240.59
6836330,The Ballard Fishermans Bungalow,Ballard/Greenlake,1,90,30,0,463837,2700,-2.41
8484705,1-bedroom Mother-in-Law Apartment,Ballard/Greenlake,1,95,0,30,463837,0,-2432.41
8567933,Bright Ballard Charmer!,Ballard/Greenlake,2,115,7,23,615107,805,-2501.19
6481764,Beautiful Craftsman home in Ballard,Ballard/Greenlake,3,220,30,0,760000,6600,1954.48
8426827,Amazing Ballard - 85 Walk Score!,Ballard/Greenlake,1,135,1,29,463837,135,-2310.91
7771531,Spacious & Private Ballard Basement,Ballard/Greenlake,1,79,28,2,463837,2212,-441.61
